Human_prot	VACV_prot	label
B8ZZN6	P21605	1
B2R4R0	P68466	1
Q9BYE4	P21605	1
O60506	P21605	1
O14578	P12848	1
P22492	P24772	1
Q92560	P11258	1
K7EQ78	P23372	1
P31151	Q80HW9	1
Q9Y679	P17367	1
P31025	Q80HW9	1
P62807	P15059	1
Q9Y5Q9	P23372	1
P22492	P21605	1
Q96C34	P17367	1
A4FTV9	P15059	1
P42338	Q01220	1
Q02539	P21605	1
P04908	P15059	1
P84243	P15059	1
P14923	P23372	1
Q01082	P68466	1
A3KPC7	P15059	1
G5E9I4	P17367	1
Q92599	P17367	1
Q7Z406	P17367	1
Q9H2G2	P17367	1
O75376	P68466	1
Q9UBB5	P17367	1
P24539	P17367	1
P27449	P23372	1
Q8IVF2	P14357	1
P49792	P17367	1
Q06481	Q80HW9	1
P84101	Q80HW9	1
O94763	P17367	1
Q08AE8	P68466	1
P22532	P21605	1
F8WBV6	Q80HW9	1
P0C0S8	P15059	1
Q99880	P15059	1
P13051	P68466	1
J3QK89	P17367	1
P06733	P21605	1
P63165	P21605	1
Q8N8S7	P11158	1
C9JQJ2	P17367	1
P13929	P21605	1
Q93079	P15059	1
Q9BTM1	P68466	1
Q93008	P24772	1
P19013	Q805H7	1
P04183	P14357	1
B2RDW1	P18378	1
O15021	P21605	1
A0A075B749	P17367	1
Q96ES6	P14357	1
P12273	P21605	1
Q02539	Q01220	1
P02511	P17371	1
Q71U36	P24772	1
P35268	P24772	1
Q76M96	P23372	1
Q548T7	P12848	1
P78344	P11158	1
K7ERV3	P14357	1
B4DJ51	P21605	1
Q6P5S2	P12848	1
P19525	P18378	1
P62805	P68466	1
P05141	Q01220	1
Q9HCU9	P17367	1
Q9BXF6	P23372	1
A0A2R8Y5A3	P23372	1
E5KTA5	P68466	1
Q14444	P21605	1
Q9BQE3	P21605	1
P0C0S8	P68466	1
Q7L7L0	P15059	1
O95793	P21605	1
Q13085	P24772	1
Q9Y5X3	P68466	1
Q8WUM4	P17367	1
Q99729	P21605	1
Q07666	P23372	1
P63010	P14357	1
Q86X95	P18378	1
P24001	P18378	1
Q9UH99	P11258	1
E9PDI4	P68466	1
Q99878	P68466	1
K7ERV3	P68563	1
B2R4S9	P15059	1
Q99879	P15059	1
Q9NRQ2	P14357	1
Q86YZ3	P21605	1
A3KPC7	P68466	1
P68431	P15059	1
P55265	P21605	1
P68371	P21605	1
Q05BQ5	P23372	1
P62805	P15059	1
P04908	P68466	1
Q9UMR2	P15059	1
P05023	Q01220	1
A8MUS3	P21605	1
Q8TAQ2	P14357	1
P02511	P23372	1
Q12905	P21605	1
Q92878	P17367	1
D9YZV4	P11258	1
Q99661	P23372	1
Q93077	P68466	1
P12036	P21605	1
Q9Y4K3	Q01220	1
P09104	P21605	1
Q08379	P12848	1
Q6P0Q8	P21605	1
Q9H4A3	P68466	1
A6NNZ2	P21605	1
P07437	Q01220	1
P12236	P15059	1
P0DP23	P21605	1
Q9H2G2	P15059	1
P20671	P15059	1
Q93077	P15059	1
Q13427	Q805H7	1
Q9BTM1	P15059	1
F4ZW62	P21605	1
P22531	P21605	1
Q6P597	P17367	1
P23025	P17367	1
Q6ZN40	P11258	1
O14654	P68466	1
Q8IXT5	P23372	1
Q9C0F3	P68563	1
P04792	P17371	1
Q16695	P15059	1
Q9BQE3	Q01220	1
Q9Y618	P24768	1
Q9Y2H9	P21605	1
P28562	Q80HW9	1
Q9UPT5	P17367	1
Q8IWX8	P17367	1
P19525	P21605	1
P12236	Q01220	1
Q9Y3C5	P23372	1
Q15084	P23372	1
P11021	P68466	1
O15111	P24772	1
O43815	P17367	1
P07437	P15059	1
Q9H6S3	P14357	1
Q02539	P24772	1
P63010	P17367	1
P38159	P21605	1
P35325	P21605	1
Q9NUL3	P21605	1
P15924	P21605	1
O00515	P68466	1
Q96JA1	P23372	1
Q99675	P17367	1
Q71U36	Q01220	1
P18583	Q80HW9	1
Q16777	P68466	1
Q16777	P15059	1
P67809	P21605	1
P20042	Q805H7	1
Q53H80	P23372	1
O43187	Q01220	1
Q08379	P14357	1
Q8TDL5	P23372	1
Q08211	P21605	1
Q9NP98	P23372	1
Q8WW38	P12848	1
Q9BT92	Q80HW9	1
Q15853	P17367	1
Q8WWI1	Q80HW9	1
Q6UWP8	Q80HW9	1
Q13618	P24768	1
Q15269	P24768	0
Q6NUN2	P18378	0
A3F768	P07242	0
A0AAG2UWQ9	P68466	0
O15226	Q80HW9	0
A0A8I5KX72	P14357	0
A3F769	P24768	0
A0A6M8YHF9	P24772	0
A0A6M8YDW1	P14357	0
A0A6M8YDW2	P04297	0
A0A8I5QKX4	P11158	0
O95625	P11258	0
A0A994J7A5	Q80HW9	0
Q3B726	Q805P6	0
B3KTZ6	P24772	0
F6VXF5	Q805P6	0
Q4G0D9	Q01220	0
Q6DKJ9	P17371	0
Q9H8H2	P68466	0
B4DYZ1	P23372	0
A8K818	P17371	0
A0JLT1	Q805P6	0
Q05BI1	P24772	0
Q9Y2R4	Q01220	0
Q53ES5	P15059	0
Q96NY9	P68563	0
B3KX63	P14357	0
A0A1B0GTK2	P23372	0
A0A1B0GVD3	Q01220	0
A7E2T3	P04297	0
B4DP15	P18378	0
A0A1U9X8W1	P68563	0
A0A1U9X8U3	P17371	0
A0A1U9X8U7	P11258	0
A8K806	P23372	0
A8K9A1	P14357	0
O15213	Q805H7	0
B0UZZ8	Q80HW9	0
B4DNI0	P68466	0
H0Y6G3	P07242	0
A0A0G2JJL1	P23372	0
A0A140T9L0	P21605	0
E9PFK5	P15059	0
Q96GC8	P24768	0
P78316	P21605	0
A8KA74	P17371	0
Q96HI0	P14357	0
B2R9F5	P68563	0
A0A8J8YW94	P12848	0
A0A8I5KT77	P68563	0
H0Y3N9	P15059	0
U3KQ48	P11258	0
A0A8Q3WK70	P11158	0
A0A8Q3WKH7	P12848	0
B3KPV5	P12848	0
B4DM91	Q805P6	0
Q6AI50	P23372	0
F5H101	Q805H7	0
Q76FK4	P15059	0
F8WE42	P15059	0
F5GWN9	P68563	0
Q5TAP6	Q80HW9	0
Q08E77	P14357	0
Q9BVJ6	Q01220	0
B4E343	P24772	0
D6RCB9	P23372	0
D6RC52	P24772	0
B4E303	Q01220	0
B4E074	P23372	0
Q9NVX2	P68563	0
A0A0A0MRH0	P23372	0
A0A7I2V506	P11258	0
A0A7I2V5M5	P17371	0
A0A7I2V2U7	P23372	0
A0A7I2V349	P11158	0
A0A7I2V699	P24772	0
A0A7I2V3F3	Q805H7	0
A0A994J7C7	P15059	0
B4E263	P17371	0
B3KWS1	P24768	0
A2VDI1	P68563	0
B7ZAU8	P11158	0
Q14146	P12848	0
A8MPP1	P24772	0
A0A8V8TMR1	P17367	0
B7Z284	P11258	0
Q14692	P17367	0
Q8TDD1	P07242	0
Q8IY81	P17371	0
Q13428	P68466	0
Q5T8A7	P14357	0
A8MV53	P15059	0
A8K9U0	P15059	0
A6NHQ2	Q805P6	0
P52272	Q805P6	0
H7C2Q8	P07242	0
Q9H9L3	P15059	0
Q1ED39	P23372	0
O43818	P24768	0
O43159	Q80HW9	0
Q9H0U9	P68466	0
Q9UL41	Q80HW9	0
P56182	P12848	0
Q8TED0	P11258	0
H0Y8P4	P11158	0
Q8N3Z6	P18378	0
Q9NYV6	P11158	0
O94818	P68466	0
O60747	Q805H7	0
Q9NV06	P14357	0
A0A087WT20	P04297	0
Q53T94	P15059	0
Q9NVN8	P68563	0
A0A087X0R7	P17371	0
J3KNP2	Q01220	0
Q12788	P14357	0
A0JLS5	P11158	0
B3KPN5	P68563	0
Q9NQZ2	P11258	0
Q9GZS1	P12848	0
Q8N8A6	P21605	0
G3V0G3	P68466	0
Q9H0S4	Q01220	0
Q9Y6V7	P12848	0
A8K7A1	P04297	0
Q9NYH9	P17367	0
B3KQ21	P68563	0
Q9H9Y2	P18378	0
Q96AY2	P07242	0
E9PHI8	Q01220	0
B7ZAN7	Q805P6	0
B4DM56	P12848	0
Q05CW7	P07242	0
Q2NL82	P11158	0
Q99575	P23372	0
Q53GS0	P17371	0
Q8N4P8	P15059	0
Q9BZE4	P21605	0
D2CFK9	Q01220	0
B4DHR2	P11258	0
Q9H0D6	P17371	0
Q8N6M6	P11158	0
Q68D10	Q01220	0
Q13823	P24768	0
Q5T0F3	P15059	0
Q9NY61	P04297	0
Q9NW13	Q01220	0
A0A024R753	P07242	0
E9PKP7	P17371	0
B4DNQ1	P21605	0
P17480	P11258	0
A8K962	P17367	0
Q9H8H0	Q01220	0
A8K905	P14357	0
Q8IWA0	P11258	0
A8K330	P07242	0
Q8N7L7	P21605	0
B9EG90	P23372	0
Q8NI36	P18378	0
Q7Z2T5	P17371	0
A0A8Q3SHX7	Q01220	0
A0A8Q3SHT6	P68466	0
D6RC60	P15059	0
F8WDT8	P12848	0
B4DHA6	P15059	0
B4DRX8	P24772	0
B4DMU5	P04297	0
C9JZT7	P18378	0
O60531	P17367	0
F8WC81	P07242	0
E9PLY7	Q80HW9	0
F8VRX4	Q805H7	0
A0A590UJ73	P07242	0
A0A590UJW4	P17371	0
E7EQB3	Q01220	0
B4DT51	P24768	0
C9JJU7	P11258	0
H7BZ72	P68466	0
P78345	P04297	0
E9PPY3	P14357	0
Q9Y3A2	P11158	0
Q8IZU1	P17367	0
A0A0C4DGU5	P11258	0
Q9P0T8	P07242	0
Q15050	P17367	0
H7C446	P17367	0
Q99848	P68563	0
Q6IB29	Q80HW9	0
Q9UMY1	P68466	0
Q92979	Q01220	0
A8K6D2	P17371	0
A0A087WWQ2	Q805H7	0
B4DQC7	P17367	0
V9GYP5	P21605	0
Q5VZU3	P14357	0
P49715	P18378	0
F5GYR3	P11158	0
Q8ND90	Q80HW9	0
Q9UL42	P24772	0
Q5U5Z3	P04297	0
Q9BRU9	P24768	0
Q96G21	P68466	0
B8ZZ47	Q805P6	0
E7ENR5	P23372	0
H0Y714	P21605	0
B4E024	Q805H7	0
F8WE32	P15059	0
A0A0D9SEW3	P68563	0
B4DYA9	P07242	0
Q9NP64	P23372	0
A0A087WXF8	P68466	0
G3V5S9	Q805P6	0
Q9Y324	P12848	0
G3V1S4	P14357	0
Q4FZ45	P04297	0
O95478	P17371	0
Q5J7U2	P24772	0
Q9NRX1	P04297	0
B2R823	P11158	0
Q5VU10	P17371	0
B4DJR3	Q805P6	0
Q5VU11	P24772	0
B4DSM4	P24768	0
B4DPI9	P18378	0
O95707	P15059	0
A0PJ87	P21605	0
I3L3U9	P17371	0
B4DLD4	P11258	0
M0R0P1	P68563	0
D6RBR7	P17367	0
B4DFG9	P12848	0
J3QR28	P12848	0
H0Y9Y4	Q805H7	0
Q53EN0	P24768	0
Q05DN1	P11158	0
Q9NWT1	P18378	0
A0A0S2Z5C3	P07242	0
B3KVX2	P24768	0
B4E005	P11158	0
B4DSL9	P18378	0
B7Z9G4	P07242	0
Q96ES5	P17367	0
Q969H6	Q805H7	0
K7ERD7	P15059	0
B1AMU7	P68466	0
R4GNH9	P17367	0
B1AMU4	Q805H7	0
R4GMQ7	Q80HW9	0
D6R8Y9	P14357	0
D6R9C8	P23372	0
Q9UHA3	P17371	0
Q9H633	P21605	0
B4DW33	P07242	0
E7EX70	P14357	0
A0PJ56	P68563	0
C9J6C5	P24772	0
A0A2R8Y6A4	Q805H7	0
A0A2U3TZM3	P07242	0
B1ALV0	P18378	0
B9A008	P11258	0
M0R2U2	P23372	0
M0R1H0	P15059	0
M0R2B0	Q805P6	0
Q9HAJ7	P21605	0
B4E098	P24768	0
Q9Y3C1	P18378	0
D6RIC3	P68563	0
Q9Y221	P21605	0
Q9NV31	P11258	0
H0YBV6	P21605	0
A8MYC1	P21605	0
D6RJF7	Q80HW9	0
Q66K47	P17371	0
Q15269	Q01220	0
Q6NUN2	P11258	0
A3F768	Q01220	0
A0AAG2UWQ9	P17371	0
O15226	P11258	0
A0A8I5KX72	P24772	0
A3F769	P68466	0
A0A6M8YHF9	P17367	0
A0A6M8YDW1	Q01220	0
A0A6M8YDW2	P14357	0
A0A8I5QKX4	P24768	0
O95625	P15059	0
A0A994J7A5	P21605	0
Q3B726	P68466	0
B3KTZ6	Q805H7	0
F6VXF5	Q01220	0
Q4G0D9	P68466	0
Q6DKJ9	Q805P6	0
Q9H8H2	Q80HW9	0
B4DYZ1	P04297	0
A8K818	Q01220	0
A0JLT1	Q01220	0
Q05BI1	P68466	0
Q9Y2R4	P21605	0
Q53ES5	P07242	0
Q96NY9	P07242	0
B3KX63	P11258	0
A0A1B0GTK2	P68466	0
A0A1B0GVD3	P23372	0
A7E2T3	P68563	0
B4DP15	P04297	0
A0A1U9X8W1	P11158	0
A0A1U9X8U3	P07242	0
A0A1U9X8U7	P17371	0
A8K806	P14357	0
A8K9A1	Q805H7	0
O15213	P18378	0
B0UZZ8	P04297	0
B4DNI0	P23372	0
H0Y6G3	P17367	0
A0A0G2JJL1	P11258	0
A0A140T9L0	P24768	0
E9PFK5	P11158	0
Q96GC8	P24772	0
P78316	P14357	0
A8KA74	Q805P6	0
Q96HI0	Q805P6	0
B2R9F5	P68466	0
A0A8J8YW94	P68563	0
A0A8I5KT77	P24768	0
H0Y3N9	P04297	0
U3KQ48	P15059	0
A0A8Q3WK70	P68563	0
A0A8Q3WKH7	P17371	0
B3KPV5	P07242	0
B4DM91	P07242	0
Q6AI50	P68466	0
F5H101	P17367	0
Q76FK4	Q805P6	0
F8WE42	P11158	0
F5GWN9	P24772	0
Q5TAP6	P04297	0
Q08E77	P24768	0
Q9BVJ6	P23372	0
B4E343	Q805P6	0
D6RCB9	P24772	0
D6RC52	Q01220	0
B4E303	P14357	0
B4E074	P12848	0
Q9NVX2	P07242	0
